epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,655.861,0.45876,0.64026,0.86858,0.89382,0.875,0.94704,0.86518,0.41343,1.2049,0.82825,0.000312412,0.000312412,0.000312412
43,670.411,0.39989,0.66234,0.84422,0.89382,0.875,0.94704,0.86518,0.41343,1.2049,0.82825,0.00028628,0.00028628,0.00028628
44,684.993,0.39651,0.67209,0.82444,0.89641,0.8975,0.94733,0.86427,0.4084,1.1556,0.8282,0.000258564,0.000258564,0.000258564
45,700.131,0.43099,0.68926,0.85474,0.89641,0.8975,0.94733,0.86427,0.4084,1.1556,0.8282,0.000229264,0.000229264,0.000229264
46,716.047,0.42903,0.82609,0.87959,0.92294,0.92817,0.95505,0.87501,0.39996,1.11639,0.82645,0.00019838,0.00019838,0.00019838
47,731.878,0.43739,0.60499,0.86138,0.92294,0.92817,0.95505,0.87501,0.39996,1.11639,0.82645,0.000165912,0.000165912,0.000165912
48,747.493,0.43372,0.63831,0.86724,0.93158,0.9225,0.95952,0.8823,0.39351,1.0445,0.82539,0.00013186,0.00013186,0.00013186
49,762.841,0.42418,0.66119,0.8668,0.93158,0.9225,0.95952,0.8823,0.39351,1.0445,0.82539,9.6224e-05,9.6224e-05,9.6224e-05
50,778.066,0.41165,0.62145,0.85773,0.93211,0.92674,0.9658,0.8902,0.38523,0.97523,0.82331,5.9004e-05,5.9004e-05,5.9004e-05
1,11.7796,1.43468,3.39008,1.4555,0.03439,0.49,0.02709,0.0158,1.05905,3.28306,1.29528,2e-05,2e-05,2e-05
2,17.4531,1.13946,3.29767,1.3573,0.04684,0.6675,0.04592,0.03097,0.85638,3.13816,1.13106,5.8812e-05,5.8812e-05,5.8812e-05
3,23.338,1.20136,3.29013,1.27652,0.06018,0.8575,0.07541,0.0535,0.73293,3.03448,1.01046,9.604e-05,9.604e-05,9.604e-05
4,29.1479,0.83668,3.04297,1.04215,0.06614,0.9425,0.0971,0.07091,0.69261,2.98016,0.95383,0.000131684,0.000131684,0.000131684
5,35.6438,0.87858,2.92491,1.04489,0.06842,0.975,0.1065,0.07669,0.72476,2.94217,0.92726,0.000165744,0.000165744,0.000165744
6,41.2759,0.83188,2.76929,1.02944,0.0686,0.9775,0.16728,0.10658,0.82504,2.88378,0.92258,0.00019822,0.00019822,0.00019822
7,47.0888,0.77052,2.53377,0.99748,0.06789,0.9675,0.33276,0.21942,0.80832,2.77875,0.93188,0.000229112,0.000229112,0.000229112
8,52.9816,0.88589,2.36781,1.07224,0.06772,0.965,0.43896,0.28563,0.77279,2.73846,0.90904,0.00025842,0.00025842,0.00025842
9,58.798,0.85089,2.12531,1.08,0.06825,0.9725,0.48018,0.32876,0.76307,2.70365,0.89854,0.000286144,0.000286144,0.000286144
10,64.4351,0.76401,2.1234,0.97543,0.06877,0.98,0.5327,0.37144,0.7501,2.65996,0.88248,0.000312284,0.000312284,0.000312284
11,70.1024,0.81252,2.18198,0.97384,0.07,0.9975,0.58311,0.40581,0.70897,2.6232,0.86425,0.00033684,0.00033684,0.00033684
12,75.6471,0.75966,2.06396,1.00703,0.07,0.9975,0.57659,0.41314,0.65797,2.6026,0.84546,0.000359812,0.000359812,0.000359812
13,81.163,0.80705,1.76726,1.01133,0.06982,0.995,0.49525,0.35138,0.63371,2.60284,0.83967,0.0003812,0.0003812,0.0003812
14,87.3257,0.96085,1.64532,1.10482,0.06982,0.995,0.46321,0.33386,0.61976,2.58928,0.84084,0.000401004,0.000401004,0.000401004
15,92.8219,0.73676,1.59536,0.98495,0.06947,0.99,0.49471,0.36753,0.58258,2.57683,0.83821,0.000419224,0.000419224,0.000419224
16,98.5217,0.70996,1.49935,0.94914,0.06947,0.99,0.49898,0.37796,0.56826,2.56659,0.84067,0.00043586,0.00043586,0.00043586
17,104.139,0.83353,1.40493,1.05684,0.06947,0.99,0.46973,0.34917,0.5993,2.56989,0.85221,0.000450912,0.000450912,0.000450912
18,109.98,0.66155,1.24203,0.90043,0.06947,0.99,0.4313,0.31625,0.62419,2.56286,0.86555,0.00046438,0.00046438,0.00046438
19,115.491,0.71358,1.18984,0.97045,0.0693,0.9875,0.47652,0.36959,0.634,2.54427,0.88068,0.000476264,0.000476264,0.000476264
20,120.998,0.80958,1.40232,1.09656,0.0693,0.9875,0.58786,0.46203,0.65919,2.53047,0.90026,0.000486564,0.000486564,0.000486564
21,126.615,0.69541,1.12917,0.92022,0.06912,0.985,0.62627,0.49105,0.70716,2.50893,0.91329,0.00049528,0.00049528,0.00049528
22,132.214,0.76573,1.19061,1.00569,0.06912,0.985,0.63111,0.50548,0.67328,2.49178,0.91204,0.000502412,0.000502412,0.000502412
23,137.85,0.693,1.07876,0.94885,0.06895,0.9825,0.62198,0.50711,0.61656,2.50031,0.905,0.00050796,0.00050796,0.00050796
24,143.471,0.60732,0.97233,0.92173,0.06895,0.9825,0.56774,0.47183,0.60692,2.51721,0.90964,0.000511924,0.000511924,0.000511924
25,149.163,0.63736,0.93638,0.95615,0.0686,0.9775,0.5856,0.47907,0.6283,2.52031,0.92144,0.000514304,0.000514304,0.000514304
26,155.539,0.6245,0.81859,0.94056,0.06807,0.97,0.62865,0.51524,0.66926,2.50882,0.93342,0.0005151,0.0005151,0.0005151
