epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,123.896,0.66155,1.24203,0.90043,0.06947,0.99,0.4313,0.31625,0.62419,2.56286,0.86555,0.00046438,0.00046438,0.00046438
19,130.658,0.71358,1.18984,0.97045,0.0693,0.9875,0.47652,0.36959,0.634,2.54427,0.88068,0.000476264,0.000476264,0.000476264
20,137.35,0.80958,1.40232,1.09656,0.0693,0.9875,0.58786,0.46203,0.65919,2.53047,0.90026,0.000486564,0.000486564,0.000486564
21,144.208,0.69541,1.12917,0.92022,0.06912,0.985,0.62627,0.49105,0.70716,2.50893,0.91329,0.00049528,0.00049528,0.00049528
22,150.948,0.76573,1.19061,1.00569,0.06912,0.985,0.63111,0.50548,0.67328,2.49178,0.91204,0.000502412,0.000502412,0.000502412
23,157.823,0.693,1.07876,0.94885,0.06895,0.9825,0.62198,0.50711,0.61656,2.50031,0.905,0.00050796,0.00050796,0.00050796
24,164.663,0.60732,0.97233,0.92173,0.06895,0.9825,0.56774,0.47183,0.60692,2.51721,0.90964,0.000511924,0.000511924,0.000511924
25,171.34,0.63736,0.93638,0.95615,0.0686,0.9775,0.5856,0.47907,0.6283,2.52031,0.92144,0.000514304,0.000514304,0.000514304
26,178.01,0.6245,0.81859,0.94056,0.06807,0.97,0.62865,0.51524,0.66926,2.50882,0.93342,0.0005151,0.0005151,0.0005151
27,184.861,0.83547,1.05852,1.09115,0.12697,0.935,0.71102,0.58939,0.68994,2.47329,0.93933,0.000514312,0.000514312,0.000514312
28,191.632,0.62932,0.85857,0.93086,0.12697,0.935,0.71102,0.58939,0.68994,2.47329,0.93933,0.00051194,0.00051194,0.00051194
29,198.365,0.6681,0.87286,0.93545,0.86444,0.615,0.74445,0.62683,0.65927,2.40649,0.92274,0.000507984,0.000507984,0.000507984
