epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,280.326,0.50957,0.71123,0.8948,0.89414,0.88689,0.94158,0.83992,0.47768,1.13082,0.8319,0.00033696,0.00033696,0.00033696
42,287.032,0.52771,0.62527,0.88144,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.000312412,0.000312412,0.000312412
43,294.475,0.46084,0.63318,0.86226,0.86973,0.9025,0.94065,0.84614,0.46028,1.06975,0.82681,0.00028628,0.00028628,0.00028628
44,301.791,0.4711,0.64262,0.85105,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000258564,0.000258564,0.000258564
45,308.617,0.50531,0.67644,0.89479,0.86932,0.9025,0.94469,0.84924,0.45483,0.98819,0.82554,0.000229264,0.000229264,0.000229264
46,315.339,0.53889,0.8412,0.91494,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.00019838,0.00019838,0.00019838
47,321.96,0.49035,0.62601,0.86484,0.87336,0.9125,0.94954,0.85446,0.4485,0.94659,0.82486,0.000165912,0.000165912,0.000165912
48,328.754,0.48666,0.67943,0.86949,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,0.00013186,0.00013186,0.00013186
49,335.501,0.47687,0.65486,0.87545,0.86483,0.92772,0.95455,0.86074,0.44351,0.89762,0.82528,9.6224e-05,9.6224e-05,9.6224e-05
50,342.285,0.46655,0.60287,0.87386,0.87088,0.92741,0.96208,0.87035,0.43561,0.85975,0.82488,5.9004e-05,5.9004e-05,5.9004e-05
1,68.7982,1.06147,3.14673,1.22386,0.06888,0.98156,0.15922,0.10974,0.77343,2.90238,0.95424,0.00018,0.00018,0.00018
2,125.274,0.76859,2.28993,0.97536,0.06967,0.99281,0.60022,0.44019,0.70279,2.59314,0.88564,0.000372476,0.000372476,0.000372476
3,181.23,0.78111,1.59044,0.98601,0.06978,0.99438,0.41353,0.2827,0.79176,2.55351,0.95395,0.000557032,0.000557032,0.000557032
4,239.662,0.74056,1.16484,0.95516,0.06831,0.97344,0.60349,0.46439,1.01618,2.73357,1.17426,0.000733668,0.000733668,0.000733668
5,295.908,0.69753,0.87167,0.95943,0.06393,0.91094,0.39926,0.33057,1.04828,2.90537,1.29541,0.000902384,0.000902384,0.000902384
6,354.655,0.69347,0.8148,0.94923,0.9491,0.76912,0.91452,0.76957,0.70528,1.86753,0.95903,0.00106318,0.00106318,0.00106318
7,414.833,0.64807,0.76154,0.94146,0.9104,0.88875,0.94594,0.79232,0.66481,1.32319,0.90965,0.00121606,0.00121606,0.00121606
8,475.295,0.62108,0.7305,0.93377,0.83157,0.8425,0.90448,0.76612,0.61762,1.24464,0.90193,0.00136101,0.00136101,0.00136101
9,535.585,0.60805,0.70045,0.92255,0.92188,0.92189,0.96876,0.85227,0.56765,0.96265,0.88447,0.00149805,0.00149805,0.00149805
10,596.526,0.59768,0.64541,0.90937,0.92375,0.9,0.96708,0.85703,0.53251,0.88865,0.86074,0.00162716,0.00162716,0.00162716
11,655.813,0.58773,0.65108,0.91782,0.92938,0.90889,0.97067,0.86277,0.53424,0.80982,0.87306,0.001604,0.001604,0.001604
